category	entry_id	openalex_id	doi	publication_year	authors
topics	https://openalex.org/T10015	https://openalex.org/W2100837269	https://doi.org/10.1038/227680a0	1970	Ulrich K. Laemmli
topics	https://openalex.org/T10015	https://openalex.org/W2055043387	https://doi.org/10.1016/s0022-2836(05)80360-2	1990	Stephen F. Altschul, Warren Gish, Webb Miller, Eugene W. Myers, David J. Lipman
topics	https://openalex.org/T10015	https://openalex.org/W2158714788	https://doi.org/10.1093/nar/25.17.3389	1997	Stephen F. Altschul
topics	https://openalex.org/T10015	https://openalex.org/W2106882534	https://doi.org/10.1093/nar/22.22.4673	1994	Julie Thompson, Desmond G. Higgins, Toby J. Gibson
topics	https://openalex.org/T10015	https://openalex.org/W2097706568	https://doi.org/10.1093/oxfordjournals.molbev.a040454	1987	Naruya Saitou, M Nei
topics	https://openalex.org/T10015	https://openalex.org/W2167279371	https://doi.org/10.1038/nmeth.2019	2012	Johannes Schindelin, Ignacio Arganda‐Carreras, Erwin Frise, Verena Kaynig, Mark Longair, Tobias Pietzsch, Stephan Preibisch, Curtis Rueden, Stephan Saalfeld, Benjamin Schmid, Jean-Yves Tinévez, Daniel J. White, Volker Hartenstein, Kevin W. Eliceiri, Pavel Tomančák, Albert Cardona
topics	https://openalex.org/T10015	https://openalex.org/W2108234281	https://doi.org/10.1093/bioinformatics/btp352	2009	Heng Li, Robert E. Handsaker, Alec Wysoker, Tim Fennell, Jue Ruan, Nils Homer, Gábor Marth, Gonçalo R. Abecasis, Richard Durbin
topics	https://openalex.org/T10015	https://openalex.org/W2103441770	https://doi.org/10.1093/bioinformatics/btp324	2009	Heng Li, Richard Durbin
topics	https://openalex.org/T10015	https://openalex.org/W2131271579	https://doi.org/10.1093/bioinformatics/btu170	2014	Anthony Bolger, Marc Lohse, Björn Usadel
topics	https://openalex.org/T10015	https://openalex.org/W2170551349	https://doi.org/10.1038/nmeth.1923	2012	Ben Langmead, Steven L. Salzberg
topics	https://openalex.org/T10015	https://openalex.org/W2152207030	https://doi.org/10.1093/molbev/mst197	2013	Koichiro Tamura, Glen Stecher, Daniel S. Peterson, Alan Filipski, Sudhir Kumar
topics	https://openalex.org/T10015	https://openalex.org/W2132926880	https://doi.org/10.1093/nar/gkh340	2004	R. C. Edgar
topics	https://openalex.org/T10015	https://openalex.org/W2169456326	https://doi.org/10.1093/bioinformatics/bts635	2012	Alexander Dobin, Carrie Davis, Felix Schlesinger, Jörg Drenkow, Chris Zaleski, Sonali Jha, Philippe Batut, Mark Chaisson, T Gingeras
topics	https://openalex.org/T10015	https://openalex.org/W2132632499	https://doi.org/10.1093/molbev/msr121	2011	Koichiro Tamura, Daniel G. Peterson, Nora Peterson, Glen Stecher, M Nei, Sudhir Kumar
topics	https://openalex.org/T10015	https://openalex.org/W2311203695	https://doi.org/10.1093/molbev/msw054	2016	Sudhir Kumar, Glen Stecher, Koichiro Tamura
topics	https://openalex.org/T10015	https://openalex.org/W2097382368	https://doi.org/10.1093/nar/25.24.4876	1997	Julie Thompson, Toby J. Gibson, Frédéric Plewniak, François Jeanmougin, Desmond G. Higgins
topics	https://openalex.org/T10015	https://openalex.org/W2160378127	https://doi.org/10.1093/molbev/mst010	2013	Kazutaka Katoh, Daron M. Standley
topics	https://openalex.org/T10015	https://openalex.org/W2072970694	https://doi.org/10.1038/nmeth.f.303	2010	J. Gregory Caporaso, Justin Kuczynski, Jesse Stombaugh, Kyle Bittinger, Frederic D. Bushman, Elizabeth K. Costello, Noah Fierer, Antonio González Peña, Julia K. Goodrich, Jeffrey I. Gordon, Gavin Huttley, Scott T. Kelley, Dan Knights, Jeremy E. Koenig, Ruth E. Ley, Catherine Lozupone, Daniel McDonald, Brian D. Muegge, Meg Pirrung, Jens Reeder, Joel Sevinsky, Peter J. Turnbaugh, William A. Walters, Jeremy Widmann, Tanya Yatsunenko, Jesse Zaneveld, Rob Knight
topics	https://openalex.org/T10015	https://openalex.org/W2120644786	https://doi.org/10.1016/b978-0-12-372180-8.50042-1	1990	T. J. White, Thomas D. Bruns, Steven Lee, John W. Taylor
topics	https://openalex.org/T10015	https://openalex.org/W2799524357	https://doi.org/10.1093/molbev/msy096	2018	Sudhir Kumar, Glen Stecher, Michael Li, Christina Knyaz, Koichiro Tamura
topics	https://openalex.org/T10015	https://openalex.org/W2159482845	https://doi.org/10.1093/nar/27.1.29	1999	Hiroyuki Ogata, Susumu Goto, Kazushige Sato, Wataru Fujibuchi, Hidemasa Bono, Minoru Kanehisa
topics	https://openalex.org/T10015	https://openalex.org/W2125121305	https://doi.org/10.1093/molbev/msm092	2007	Koichiro Tamura, Joel T. Dudley, M Nei, Sudhir Kumar
topics	https://openalex.org/T10015	https://openalex.org/W2141052558	https://doi.org/10.1093/bioinformatics/btu033	2014	Alexandros Stamatakis
topics	https://openalex.org/T10015	https://openalex.org/W2146058063	https://doi.org/10.1093/bioinformatics/btg180	2003	Fredrik Ronquist, John P. Huelsenbeck
topics	https://openalex.org/T10015	https://openalex.org/W2065461553	https://doi.org/10.1007/bf01731581	1980	Motoo Kimura
topics	https://openalex.org/T10015	https://openalex.org/W2137015675	https://doi.org/10.1093/bioinformatics/btm404	2007	Mark Larkin, Gordon Blackshields, Nigel P. Brown, Chenna Ramu, Paul McGettigan, Hamish McWilliam, F. Valentin, Iain M. Wallace, Andreas Wilm, Rodrigo López, Julie Thompson, Toby J. Gibson, Desmond G. Higgins
topics	https://openalex.org/T10015	https://openalex.org/W2036897871	https://doi.org/10.14806/ej.17.1.200	2011	Marcel Martin
topics	https://openalex.org/T10015	https://openalex.org/W2034285706	https://doi.org/10.1093/nar/gks1219	2012	Christian Quast, Elmar Pruesse, Pelin Yilmaz, Jan Gerken, Timmy Schweer, Pablo Yarza, Jörg Peplies, Frank Oliver Glöckner
topics	https://openalex.org/T10015	https://openalex.org/W2119180969	https://doi.org/10.1101/gr.107524.110	2010	Aaron McKenna, Matthew G. Hanna, Eric Banks, Andrey Sivachenko, Kristian Cibulskis, Andrew Kernytsky, Kiran Garimella, David Altshuler, Stacey Gabriel, Mark J. Daly, Mark A. DePristo
