category	entry_id	openalex_id	doi	publication_year	authors
topics	https://openalex.org/T10044	https://openalex.org/W2100837269	https://doi.org/10.1038/227680a0	1970	Ulrich K. Laemmli
topics	https://openalex.org/T10044	https://openalex.org/W2131350133	https://doi.org/10.1107/s0108767307043930	2007	George M. Sheldrick
topics	https://openalex.org/T10044	https://openalex.org/W2029667189	https://doi.org/10.1016/0263-7855(96)00018-5	1996	William Humphrey, Andrew Dalke, Klaus Schulten
topics	https://openalex.org/T10044	https://openalex.org/W2132629607	https://doi.org/10.1002/jcc.20084	2004	Eric F. Pettersen, Thomas D. Goddard, Conrad C. Huang, Gregory S. Couch, Daniel M. Greenblatt, Elaine C. Meng, Thomas E. Ferrin
topics	https://openalex.org/T10044	https://openalex.org/W2130479394	https://doi.org/10.1093/nar/28.1.235	2000	Helen Berman
topics	https://openalex.org/T10044	https://openalex.org/W1539796472	https://doi.org/10.1016/s0076-6879(97)76066-x	1997	Zbyszek Otwinowski, W. Minor
topics	https://openalex.org/T10044	https://openalex.org/W2144081223	https://doi.org/10.1107/s0907444904019158	2004	Paul Emsley, Kevin Cowtan
topics	https://openalex.org/T10044	https://openalex.org/W2134967712	https://doi.org/10.1002/jcc.21334	2009	Oleg Trott, Arthur J. Olson
topics	https://openalex.org/T10044	https://openalex.org/W3177828909	https://doi.org/10.1038/s41586-021-03819-2	2021	John Jumper, Richard Evans, Alexander Pritzel, Tim Green, Michael Figurnov, Olaf Ronneberger, Kathryn Tunyasuvunakool, Russ Bates, Augustin Žídek, Anna Potapenko, Alex Bridgland, Clemens Meyer, Simon Kohl, Andrew J. Ballard, Andrew Cowie, Bernardino Romera‐Paredes, Stanislav Nikolov, Rishub Jain, Jonas Adler, Trevor Back, Stig Petersen, David Reiman, Ellen Clancy, Michal Zielinski, Martin Steinegger, Michalina Pacholska, Tamas Berghammer, Sebastian Bodenstein, David Silver, Oriol Vinyals, Andrew Senior, Koray Kavukcuoglu, Pushmeet Kohli, Demis Hassabis
topics	https://openalex.org/T10044	https://openalex.org/W2124026197	https://doi.org/10.1107/s0907444910007493	2010	Paul Emsley, Bernhard Lohkamp, W. G. Scott, Kevin Cowtan
topics	https://openalex.org/T10044	https://openalex.org/W1986191025	https://doi.org/10.1107/s0021889892009944	1993	Roman A. Laskowski, Malcolm W. MacArthur, D. S. Moss, Janet M. Thornton
topics	https://openalex.org/T10044	https://openalex.org/W2060333964	https://doi.org/10.1021/bi00591a005	1979	John M. Chirgwin, Alan Przybyla, Raymond J. MacDonald, William J. Rutter
topics	https://openalex.org/T10044	https://openalex.org/W1975304761	https://doi.org/10.1016/0022-2836(82)90515-0	1982	Jack Kyte, Russell F. Doolittle
