category	entry_id	openalex_id	doi	publication_year	authors
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2138270253	https://doi.org/10.1073/pnas.74.12.5463	1977	Frederick Sanger, S. Nicklen, Alan Coulson
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2097706568	https://doi.org/10.1093/oxfordjournals.molbev.a040454	1987	Naruya Saitou, M Nei
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2015795623	https://doi.org/10.1016/s0140-6736(86)90837-8	1986	J Martin Bland, DouglasG. Altman
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2152207030	https://doi.org/10.1093/molbev/mst197	2013	Koichiro Tamura, Glen Stecher, Daniel S. Peterson, Alan Filipski, Sudhir Kumar
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2030966943	https://doi.org/10.1111/j.1558-5646.1985.tb00420.x	1985	Joseph Felsenstein
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2132632499	https://doi.org/10.1093/molbev/msr121	2011	Koichiro Tamura, Daniel G. Peterson, Nora Peterson, Glen Stecher, M Nei, Sudhir Kumar
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2160378127	https://doi.org/10.1093/molbev/mst010	2013	Kazutaka Katoh, Daron M. Standley
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2098126593	https://doi.org/10.1093/genetics/155.2.945	2000	Jonathan K. Pritchard, Matthew Stephens, Peter Donnelly
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2799524357	https://doi.org/10.1093/molbev/msy096	2018	Sudhir Kumar, Glen Stecher, Michael Li, Christina Knyaz, Koichiro Tamura
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2161633633	https://doi.org/10.1086/519795	2007	Shaun Purcell, Benjamin M. Neale, Katherine EO Todd-Brown, L. Odong Thomas, Manuel A. R. Ferreira, D.B. Bender, Julian Maller, Pamela Sklar, Paul I. W. de Bakker, Mark J. Daly, Pak C. Sham
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2125121305	https://doi.org/10.1093/molbev/msm092	2007	Koichiro Tamura, Joel T. Dudley, M Nei, Sudhir Kumar
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2141052558	https://doi.org/10.1093/bioinformatics/btu033	2014	Alexandros Stamatakis
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2146058063	https://doi.org/10.1093/bioinformatics/btg180	2003	Fredrik Ronquist, John P. Huelsenbeck
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2065461553	https://doi.org/10.1007/bf01731581	1980	Motoo Kimura
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2125987139	https://doi.org/10.1016/j.cell.2006.07.024	2006	Kazutoshi Takahashi, Shinya Yamanaka
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2051978340	https://doi.org/10.1038/gim.2015.30	2015	Sue Richards, Nazneen Aziz, Sherri J. Bale, David Bick, Soma Das, Julie M. Gastier‐Foster, Wayne W. Grody, Madhuri Hegde, Elaine Lyon, Elaine Spector, Karl V. Voelkerding, Heidi L. Rehm
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2148698435	https://doi.org/10.1093/sysbio/sys029	2012	Fredrik Ronquist, Maxim Teslenko, Paul van der Mark, Daniel L. Ayres, Aaron E. Darling, Sebastian Höhna, Bret Larget, Liang Liu, Marc A. Suchard, John P. Huelsenbeck
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2141088880	https://doi.org/10.2307/2529912	1982	A. W. F. Edwards, D. S. Falconer
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2161444534	https://doi.org/10.1093/bioinformatics/17.8.754	2001	John P. Huelsenbeck, Fredrik Ronquist
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2082928585	https://doi.org/10.1093/bioinformatics/14.9.817	1998	David Posada, Keith A. Crandall
subfields	https://openalex.org/subfields/1311	https://openalex.org/W2161339576	https://doi.org/10.1111/j.1365-294x.2005.02553.x	2005	Guillaume Evanno, Sébastien Regnaut, Jérôme Goudet
subfields	https://openalex.org/subfields/1311	https://openalex.org/W4254275792	https://doi.org/10.2307/2408678	1985	Joseph Felsenstein
