category	entry_id	openalex_id	doi	publication_year	authors
domains	https://openalex.org/domains/1	https://openalex.org/W1775749144	https://doi.org/10.1016/s0021-9258(19)52451-6	1951	OliverH. Lowry, NiraJ. Rosebrough, A. Farr, RoseJ. Randall
domains	https://openalex.org/domains/1	https://openalex.org/W2100837269	https://doi.org/10.1038/227680a0	1970	Ulrich K. Laemmli
domains	https://openalex.org/domains/1	https://openalex.org/W2128635872	https://doi.org/10.1006/abio.1976.9999	1976	Mark A. Bradford
domains	https://openalex.org/domains/1	https://openalex.org/W4293247451	https://doi.org/10.1016/0003-2697(76)90527-3	1976	Marion M. Bradford
domains	https://openalex.org/domains/1	https://openalex.org/W2107277218	https://doi.org/10.1006/meth.2001.1262	2001	Kenneth J. Livak, Thomas D. Schmittgen
domains	https://openalex.org/domains/1	https://openalex.org/W2144634347		2001	Joseph Sambrook, Elisabeth Fritsch, Tom Maniatis
domains	https://openalex.org/domains/1	https://openalex.org/W2055043387	https://doi.org/10.1016/s0022-2836(05)80360-2	1990	Stephen F. Altschul, Warren Gish, Webb Miller, Eugene W. Myers, David J. Lipman
domains	https://openalex.org/domains/1	https://openalex.org/W2131350133	https://doi.org/10.1107/s0108767307043930	2007	George M. Sheldrick
domains	https://openalex.org/domains/1	https://openalex.org/W2314225431	https://doi.org/10.1016/0003-2697(90)90595-z	1990	Prescott L. Deininger
domains	https://openalex.org/domains/1	https://openalex.org/W2158714788	https://doi.org/10.1093/nar/25.17.3389	1997	Stephen F. Altschul
domains	https://openalex.org/domains/1	https://openalex.org/W2138270253	https://doi.org/10.1073/pnas.74.12.5463	1977	Frederick Sanger, S. Nicklen, Alan Coulson
domains	https://openalex.org/domains/1	https://openalex.org/W2179438025	https://doi.org/10.1186/s13059-014-0550-8	2014	Michael I. Love, Wolfgang Huber, Simon Anders
domains	https://openalex.org/domains/1	https://openalex.org/W2024556021	https://doi.org/10.1111/j.1399-3054.1962.tb08052.x	1962	Toshio Murashige, Folke Skoog
domains	https://openalex.org/domains/1	https://openalex.org/W2134812217	https://doi.org/10.1006/abio.1987.9999	1987	Piotr Chomczynski, Nicoletta Sacchi
domains	https://openalex.org/domains/1	https://openalex.org/W1901129140	https://doi.org/10.1007/978-3-319-24574-4_28	2015	Olaf Ronneberger, Philipp Fischer, Thomas Brox
domains	https://openalex.org/domains/1	https://openalex.org/W2106882534	https://doi.org/10.1093/nar/22.22.4673	1994	Julie Thompson, Desmond G. Higgins, Toby J. Gibson
domains	https://openalex.org/domains/1	https://openalex.org/W2168526937	https://doi.org/10.1016/s0021-9258(18)64849-5	1957	Jordi Folch, Marjorie B. Lees, G H S Stanley
domains	https://openalex.org/domains/1	https://openalex.org/W2097706568	https://doi.org/10.1093/oxfordjournals.molbev.a040454	1987	Naruya Saitou, M Nei
domains	https://openalex.org/domains/1	https://openalex.org/W2117692326	https://doi.org/10.1016/j.cell.2011.02.013	2011	Douglas Hanahan, Robert A. Weinberg
domains	https://openalex.org/domains/1	https://openalex.org/W2101108802	https://doi.org/10.1073/pnas.76.9.4350	1979	Harry Towbin, T. Staehelin, J. Gordon
domains	https://openalex.org/domains/1	https://openalex.org/W2167279371	https://doi.org/10.1038/nmeth.2019	2012	Johannes Schindelin, Ignacio Arganda‐Carreras, Erwin Frise, Verena Kaynig, Mark Longair, Tobias Pietzsch, Stephan Preibisch, Curtis Rueden, Stephan Saalfeld, Benjamin Schmid, Jean-Yves Tinévez, Daniel J. White, Volker Hartenstein, Kevin W. Eliceiri, Pavel Tomančák, Albert Cardona
domains	https://openalex.org/domains/1	https://openalex.org/W2163815564	https://doi.org/10.1016/c2009-0-63235-9	1982	
domains	https://openalex.org/domains/1	https://openalex.org/W2029667189	https://doi.org/10.1016/0263-7855(96)00018-5	1996	William Humphrey, Andrew Dalke, Klaus Schulten
domains	https://openalex.org/domains/1	https://openalex.org/W2108234281	https://doi.org/10.1093/bioinformatics/btp352	2009	Heng Li, Robert E. Handsaker, Alec Wysoker, Tim Fennell, Jue Ruan, Nils Homer, Gábor Marth, Gonçalo R. Abecasis, Richard Durbin
domains	https://openalex.org/domains/1	https://openalex.org/W2099540110	https://doi.org/10.1038/nmeth.2089	2012	Caroline A Schneider, Wayne Rasband, Kevin W. Eliceiri
domains	https://openalex.org/domains/1	https://openalex.org/W2114918609	https://doi.org/10.1016/0022-1759(83)90303-4	1983	Tim R. Mosmann
domains	https://openalex.org/domains/1	https://openalex.org/W2103441770	https://doi.org/10.1093/bioinformatics/btp324	2009	Heng Li, Richard Durbin
domains	https://openalex.org/domains/1	https://openalex.org/W2131271579	https://doi.org/10.1093/bioinformatics/btu170	2014	Anthony Bolger, Marc Lohse, Björn Usadel
domains	https://openalex.org/domains/1	https://openalex.org/W2018289835	https://doi.org/10.1159/000350087	2013	Haider Raza, Annie John, Abderrahim Nemmar
domains	https://openalex.org/domains/1	https://openalex.org/W2152311269	https://doi.org/10.1139/o59-099	1959	E. G. Bligh, W. J. Dyer
domains	https://openalex.org/domains/1	https://openalex.org/W2170551349	https://doi.org/10.1038/nmeth.1923	2012	Ben Langmead, Steven L. Salzberg
domains	https://openalex.org/domains/1	https://openalex.org/W2015795623	https://doi.org/10.1016/s0140-6736(86)90837-8	1986	J Martin Bland, DouglasG. Altman
domains	https://openalex.org/domains/1	https://openalex.org/W4294216491	https://doi.org/10.1016/0003-2697(87)90021-2	1987	Piotr Chomczyński, Nicoletta Sacchi
domains	https://openalex.org/domains/1	https://openalex.org/W2130410032	https://doi.org/10.1073/pnas.0506580102	2005	Aravind Subramanian, Pablo Tamayo, Vamsi K. Mootha, Sayan Mukherjee, Benjamin L. Ebert, Michael A. Gillette, Amanda G. Paulovich, Scott L. Pomeroy, Todd R. Golub, Eric S. Lander, Jill P. Mesirov
domains	https://openalex.org/domains/1	https://openalex.org/W2152207030	https://doi.org/10.1093/molbev/mst197	2013	Koichiro Tamura, Glen Stecher, Daniel S. Peterson, Alan Filipski, Sudhir Kumar
